2026-02-13 14:45:11,348 - INFO - ================================================================================
2026-02-13 14:45:11,349 - INFO - INICIANDO PROCESO DE IMPORTACIÓN DE PRECIOS
2026-02-13 14:45:11,349 - INFO - ================================================================================
2026-02-13 14:45:11,349 - INFO - Buscando archivo Excel...
2026-02-13 14:45:11,350 - INFO - Directorio del script: C:\Convertidor\SAP_ITM1
2026-02-13 14:45:11,350 - INFO - Archivos Excel encontrados: ITM1.xlsx
2026-02-13 14:45:11,351 - INFO - Leyendo archivo: C:\Convertidor\SAP_ITM1\ITM1.xlsx
2026-02-13 14:45:13,203 - INFO - Registros encontrados: 25051
2026-02-13 14:45:13,204 - INFO - Columnas: PriceList, ItemCode, Price, Currency
2026-02-13 14:45:13,204 - INFO - Conectando a SQL Server...
2026-02-13 14:45:14,019 - INFO - ✓ Conexión establecida exitosamente
2026-02-13 14:45:14,086 - INFO - Procesando 25051 registros de precios...
2026-02-13 14:45:28,577 - INFO - Progreso: 100/25051 (0.4%) - Insertados: 0, Actualizados: 100
2026-02-13 14:45:43,197 - INFO - Progreso: 200/25051 (0.8%) - Insertados: 0, Actualizados: 200
2026-02-13 14:45:57,754 - INFO - Progreso: 300/25051 (1.2%) - Insertados: 0, Actualizados: 300
2026-02-13 14:46:12,542 - INFO - Progreso: 400/25051 (1.6%) - Insertados: 0, Actualizados: 400
2026-02-13 14:46:27,292 - INFO - Progreso: 500/25051 (2.0%) - Insertados: 0, Actualizados: 500
2026-02-13 14:46:42,105 - INFO - Progreso: 600/25051 (2.4%) - Insertados: 0, Actualizados: 600
2026-02-13 14:46:56,819 - INFO - Progreso: 700/25051 (2.8%) - Insertados: 0, Actualizados: 700
2026-02-13 14:47:11,383 - INFO - Progreso: 800/25051 (3.2%) - Insertados: 0, Actualizados: 800
2026-02-13 14:47:25,917 - INFO - Progreso: 900/25051 (3.6%) - Insertados: 0, Actualizados: 900
2026-02-13 14:47:40,396 - INFO - Progreso: 1000/25051 (4.0%) - Insertados: 0, Actualizados: 1000
2026-02-13 14:47:54,875 - INFO - Progreso: 1100/25051 (4.4%) - Insertados: 0, Actualizados: 1100
2026-02-13 14:48:09,393 - INFO - Progreso: 1200/25051 (4.8%) - Insertados: 0, Actualizados: 1200
2026-02-13 14:48:23,944 - INFO - Progreso: 1300/25051 (5.2%) - Insertados: 0, Actualizados: 1300
2026-02-13 14:48:38,538 - INFO - Progreso: 1400/25051 (5.6%) - Insertados: 0, Actualizados: 1400
2026-02-13 14:48:52,989 - INFO - Progreso: 1500/25051 (6.0%) - Insertados: 0, Actualizados: 1500
