2026-03-19 14:15:48,585 - INFO - ================================================================================
2026-03-19 14:15:48,585 - INFO - INICIANDO PROCESO DE IMPORTACIÓN DE PRECIOS
2026-03-19 14:15:48,585 - INFO - ================================================================================
2026-03-19 14:15:48,585 - INFO - Buscando archivo Excel...
2026-03-19 14:15:48,585 - INFO - Directorio del script: C:\Convertidor\SAP\SAP_ITM1
2026-03-19 14:15:48,585 - INFO - Archivos Excel encontrados: ITM1.xlsx
2026-03-19 14:15:48,585 - INFO - Leyendo archivo: C:\Convertidor\SAP\SAP_ITM1\ITM1.xlsx
2026-03-19 14:15:51,146 - INFO - Registros encontrados: 31293
2026-03-19 14:15:51,146 - INFO - Columnas: PriceList, ItemCode, Price, Currency
2026-03-19 14:15:51,146 - INFO - Conectando a SQL Server...
2026-03-19 14:15:51,997 - INFO - ✓ Conexión establecida exitosamente
2026-03-19 14:15:52,065 - INFO - Procesando 31293 registros de precios...
2026-03-19 14:28:23,670 - INFO - Progreso: 4900/31293 (15.7%) - Insertados: 629, Actualizados: 4271
2026-03-19 14:28:39,489 - INFO - Progreso: 5000/31293 (16.0%) - Insertados: 629, Actualizados: 4371
2026-03-19 14:28:55,072 - INFO - Progreso: 5100/31293 (16.3%) - Insertados: 629, Actualizados: 4471
2026-03-19 14:29:20,439 - INFO - Progreso: 5200/31293 (16.6%) - Insertados: 629, Actualizados: 4571
2026-03-19 14:29:35,979 - INFO - Progreso: 5300/31293 (16.9%) - Insertados: 630, Actualizados: 4670
2026-03-19 14:29:51,527 - INFO - Progreso: 5400/31293 (17.3%) - Insertados: 631, Actualizados: 4769
2026-03-19 14:30:07,004 - INFO - Progreso: 5500/31293 (17.6%) - Insertados: 633, Actualizados: 4867
2026-03-19 14:30:22,688 - INFO - Progreso: 5600/31293 (17.9%) - Insertados: 634, Actualizados: 4966
2026-03-19 14:30:38,196 - INFO - Progreso: 5700/31293 (18.2%) - Insertados: 641, Actualizados: 5059
2026-03-19 14:30:53,824 - INFO - Progreso: 5800/31293 (18.5%) - Insertados: 641, Actualizados: 5159
2026-03-19 14:31:09,460 - INFO - Progreso: 5900/31293 (18.9%) - Insertados: 642, Actualizados: 5258
2026-03-19 14:31:25,043 - INFO - Progreso: 6000/31293 (19.2%) - Insertados: 642, Actualizados: 5358
2026-03-19 14:31:40,631 - INFO - Progreso: 6100/31293 (19.5%) - Insertados: 642, Actualizados: 5458
2026-03-19 14:31:56,319 - INFO - Progreso: 6200/31293 (19.8%) - Insertados: 644, Actualizados: 5556
2026-03-19 14:32:11,850 - INFO - Progreso: 6300/31293 (20.1%) - Insertados: 650, Actualizados: 5650
2026-03-19 14:32:27,660 - INFO - Progreso: 6400/31293 (20.5%) - Insertados: 653, Actualizados: 5747
2026-03-19 14:32:44,674 - INFO - Progreso: 6500/31293 (20.8%) - Insertados: 653, Actualizados: 5847
2026-03-19 14:33:01,099 - INFO - Progreso: 6600/31293 (21.1%) - Insertados: 653, Actualizados: 5947
2026-03-19 14:33:16,796 - INFO - Progreso: 6700/31293 (21.4%) - Insertados: 654, Actualizados: 6046
2026-03-19 14:33:32,338 - INFO - Progreso: 6800/31293 (21.7%) - Insertados: 655, Actualizados: 6145
2026-03-19 14:33:47,793 - INFO - Progreso: 6900/31293 (22.0%) - Insertados: 655, Actualizados: 6245
2026-03-19 14:34:03,096 - INFO - Progreso: 7000/31293 (22.4%) - Insertados: 655, Actualizados: 6345
2026-03-19 14:34:18,354 - INFO - Progreso: 7100/31293 (22.7%) - Insertados: 664, Actualizados: 6436
2026-03-19 14:34:33,700 - INFO - Progreso: 7200/31293 (23.0%) - Insertados: 667, Actualizados: 6533
2026-03-19 14:34:49,483 - INFO - Progreso: 7300/31293 (23.3%) - Insertados: 677, Actualizados: 6623
2026-03-19 14:35:05,791 - INFO - Progreso: 7400/31293 (23.6%) - Insertados: 678, Actualizados: 6722
2026-03-19 14:35:21,290 - INFO - Progreso: 7500/31293 (24.0%) - Insertados: 678, Actualizados: 6822
2026-03-19 14:35:36,643 - INFO - Progreso: 7600/31293 (24.3%) - Insertados: 679, Actualizados: 6921
2026-03-19 14:35:51,936 - INFO - Progreso: 7700/31293 (24.6%) - Insertados: 681, Actualizados: 7019
2026-03-19 14:36:07,299 - INFO - Progreso: 7800/31293 (24.9%) - Insertados: 681, Actualizados: 7119
2026-03-19 14:36:22,590 - INFO - Progreso: 7900/31293 (25.2%) - Insertados: 681, Actualizados: 7219
2026-03-19 14:36:37,880 - INFO - Progreso: 8000/31293 (25.6%) - Insertados: 683, Actualizados: 7317
2026-03-19 14:36:53,260 - INFO - Progreso: 8100/31293 (25.9%) - Insertados: 683, Actualizados: 7417
2026-03-19 14:37:08,382 - INFO - Progreso: 8200/31293 (26.2%) - Insertados: 695, Actualizados: 7505
2026-03-19 14:37:23,671 - INFO - Progreso: 8300/31293 (26.5%) - Insertados: 700, Actualizados: 7600
2026-03-19 14:37:39,088 - INFO - Progreso: 8400/31293 (26.8%) - Insertados: 701, Actualizados: 7699
2026-03-19 14:37:54,370 - INFO - Progreso: 8500/31293 (27.2%) - Insertados: 701, Actualizados: 7799
2026-03-19 14:38:09,852 - INFO - Progreso: 8600/31293 (27.5%) - Insertados: 701, Actualizados: 7899
2026-03-19 14:38:25,545 - INFO - Progreso: 8700/31293 (27.8%) - Insertados: 701, Actualizados: 7999
2026-03-19 14:38:40,976 - INFO - Progreso: 8800/31293 (28.1%) - Insertados: 702, Actualizados: 8098
2026-03-19 14:38:56,381 - INFO - Progreso: 8900/31293 (28.4%) - Insertados: 702, Actualizados: 8198
2026-03-19 14:39:11,803 - INFO - Progreso: 9000/31293 (28.8%) - Insertados: 702, Actualizados: 8298
2026-03-19 14:39:36,471 - INFO - Progreso: 9100/31293 (29.1%) - Insertados: 706, Actualizados: 8394
2026-03-19 14:39:51,967 - INFO - Progreso: 9200/31293 (29.4%) - Insertados: 706, Actualizados: 8494
2026-03-19 14:40:07,411 - INFO - Progreso: 9300/31293 (29.7%) - Insertados: 706, Actualizados: 8594
2026-03-19 14:40:22,981 - INFO - Progreso: 9400/31293 (30.0%) - Insertados: 707, Actualizados: 8693
2026-03-19 14:40:38,451 - INFO - Progreso: 9500/31293 (30.4%) - Insertados: 707, Actualizados: 8793
2026-03-19 14:40:53,841 - INFO - Progreso: 9600/31293 (30.7%) - Insertados: 707, Actualizados: 8893
2026-03-19 14:41:09,227 - INFO - Progreso: 9700/31293 (31.0%) - Insertados: 707, Actualizados: 8993
2026-03-19 14:41:24,663 - INFO - Progreso: 9800/31293 (31.3%) - Insertados: 708, Actualizados: 9092
2026-03-19 14:41:40,240 - INFO - Progreso: 9900/31293 (31.6%) - Insertados: 709, Actualizados: 9191
2026-03-19 14:41:55,789 - INFO - Progreso: 10000/31293 (32.0%) - Insertados: 710, Actualizados: 9290
2026-03-19 14:42:12,112 - INFO - Progreso: 10100/31293 (32.3%) - Insertados: 712, Actualizados: 9388
2026-03-19 14:42:27,776 - INFO - Progreso: 10200/31293 (32.6%) - Insertados: 712, Actualizados: 9488
2026-03-19 14:42:43,328 - INFO - Progreso: 10300/31293 (32.9%) - Insertados: 712, Actualizados: 9588
2026-03-19 14:42:58,721 - INFO - Progreso: 10400/31293 (33.2%) - Insertados: 712, Actualizados: 9688
2026-03-19 14:43:14,064 - INFO - Progreso: 10500/31293 (33.6%) - Insertados: 712, Actualizados: 9788
2026-03-19 14:43:29,438 - INFO - Progreso: 10600/31293 (33.9%) - Insertados: 713, Actualizados: 9887
2026-03-19 14:43:44,800 - INFO - Progreso: 10700/31293 (34.2%) - Insertados: 713, Actualizados: 9987
2026-03-19 14:44:00,174 - INFO - Progreso: 10800/31293 (34.5%) - Insertados: 713, Actualizados: 10087
2026-03-19 14:44:15,537 - INFO - Progreso: 10900/31293 (34.8%) - Insertados: 716, Actualizados: 10184
2026-03-19 14:44:30,905 - INFO - Progreso: 11000/31293 (35.2%) - Insertados: 716, Actualizados: 10284
2026-03-19 14:44:46,829 - INFO - Progreso: 11100/31293 (35.5%) - Insertados: 716, Actualizados: 10384
2026-03-19 14:45:02,461 - INFO - Progreso: 11200/31293 (35.8%) - Insertados: 717, Actualizados: 10483
2026-03-19 14:45:18,222 - INFO - Progreso: 11300/31293 (36.1%) - Insertados: 717, Actualizados: 10583
2026-03-19 14:45:33,866 - INFO - Progreso: 11400/31293 (36.4%) - Insertados: 718, Actualizados: 10682
2026-03-19 14:45:49,711 - INFO - Progreso: 11500/31293 (36.7%) - Insertados: 718, Actualizados: 10782
2026-03-19 14:46:05,435 - INFO - Progreso: 11600/31293 (37.1%) - Insertados: 718, Actualizados: 10882
2026-03-19 14:46:21,163 - INFO - Progreso: 11700/31293 (37.4%) - Insertados: 719, Actualizados: 10981
2026-03-19 14:46:36,730 - INFO - Progreso: 11800/31293 (37.7%) - Insertados: 721, Actualizados: 11079
2026-03-19 14:46:52,439 - INFO - Progreso: 11900/31293 (38.0%) - Insertados: 722, Actualizados: 11178
2026-03-19 14:47:07,894 - INFO - Progreso: 12000/31293 (38.3%) - Insertados: 729, Actualizados: 11271
2026-03-19 14:47:23,539 - INFO - Progreso: 12100/31293 (38.7%) - Insertados: 732, Actualizados: 11368
2026-03-19 14:47:39,144 - INFO - Progreso: 12200/31293 (39.0%) - Insertados: 732, Actualizados: 11468
2026-03-19 14:47:54,708 - INFO - Progreso: 12300/31293 (39.3%) - Insertados: 732, Actualizados: 11568
2026-03-19 14:48:10,901 - INFO - Progreso: 12400/31293 (39.6%) - Insertados: 733, Actualizados: 11667
2026-03-19 14:48:26,858 - INFO - Progreso: 12500/31293 (39.9%) - Insertados: 733, Actualizados: 11767
2026-03-19 14:48:43,360 - INFO - Progreso: 12600/31293 (40.3%) - Insertados: 738, Actualizados: 11862
2026-03-19 14:48:59,421 - INFO - Progreso: 12700/31293 (40.6%) - Insertados: 743, Actualizados: 11957
2026-03-19 14:49:15,231 - INFO - Progreso: 12800/31293 (40.9%) - Insertados: 750, Actualizados: 12050
2026-03-19 14:49:32,710 - INFO - Progreso: 12900/31293 (41.2%) - Insertados: 754, Actualizados: 12146
2026-03-19 14:49:49,130 - INFO - Progreso: 13000/31293 (41.5%) - Insertados: 756, Actualizados: 12244
2026-03-19 14:50:06,295 - INFO - Progreso: 13100/31293 (41.9%) - Insertados: 756, Actualizados: 12344
2026-03-19 14:50:22,749 - INFO - Progreso: 13200/31293 (42.2%) - Insertados: 756, Actualizados: 12444
2026-03-19 14:50:38,379 - INFO - Progreso: 13300/31293 (42.5%) - Insertados: 757, Actualizados: 12543
2026-03-19 14:50:55,077 - INFO - Progreso: 13400/31293 (42.8%) - Insertados: 757, Actualizados: 12643
2026-03-19 14:51:10,684 - INFO - Progreso: 13500/31293 (43.1%) - Insertados: 757, Actualizados: 12743
2026-03-19 14:51:26,260 - INFO - Progreso: 13600/31293 (43.5%) - Insertados: 760, Actualizados: 12840
2026-03-19 14:51:41,870 - INFO - Progreso: 13700/31293 (43.8%) - Insertados: 761, Actualizados: 12939
2026-03-19 14:51:57,396 - INFO - Progreso: 13800/31293 (44.1%) - Insertados: 763, Actualizados: 13037
2026-03-19 14:52:12,771 - INFO - Progreso: 13900/31293 (44.4%) - Insertados: 771, Actualizados: 13129
2026-03-19 14:52:28,363 - INFO - Progreso: 14000/31293 (44.7%) - Insertados: 774, Actualizados: 13226
2026-03-19 14:52:43,973 - INFO - Progreso: 14100/31293 (45.1%) - Insertados: 774, Actualizados: 13326
2026-03-19 14:52:59,541 - INFO - Progreso: 14200/31293 (45.4%) - Insertados: 774, Actualizados: 13426
2026-03-19 14:53:15,259 - INFO - Progreso: 14300/31293 (45.7%) - Insertados: 774, Actualizados: 13526
2026-03-19 14:53:30,798 - INFO - Progreso: 14400/31293 (46.0%) - Insertados: 775, Actualizados: 13625
2026-03-19 14:53:46,852 - INFO - Progreso: 14500/31293 (46.3%) - Insertados: 775, Actualizados: 13725
2026-03-19 14:54:02,352 - INFO - Progreso: 14600/31293 (46.7%) - Insertados: 776, Actualizados: 13824
2026-03-19 14:54:18,015 - INFO - Progreso: 14700/31293 (47.0%) - Insertados: 778, Actualizados: 13922
2026-03-19 14:54:33,936 - INFO - Progreso: 14800/31293 (47.3%) - Insertados: 779, Actualizados: 14021
2026-03-19 14:54:51,156 - INFO - Progreso: 14900/31293 (47.6%) - Insertados: 781, Actualizados: 14119
2026-03-19 14:55:06,919 - INFO - Progreso: 15000/31293 (47.9%) - Insertados: 781, Actualizados: 14219
2026-03-19 14:55:22,663 - INFO - Progreso: 15100/31293 (48.3%) - Insertados: 784, Actualizados: 14316
2026-03-19 14:55:38,237 - INFO - Progreso: 15200/31293 (48.6%) - Insertados: 784, Actualizados: 14416
2026-03-19 14:55:53,979 - INFO - Progreso: 15300/31293 (48.9%) - Insertados: 785, Actualizados: 14515
2026-03-19 14:56:09,675 - INFO - Progreso: 15400/31293 (49.2%) - Insertados: 786, Actualizados: 14614
2026-03-19 14:56:25,414 - INFO - Progreso: 15500/31293 (49.5%) - Insertados: 786, Actualizados: 14714
2026-03-19 14:56:40,995 - INFO - Progreso: 15600/31293 (49.9%) - Insertados: 786, Actualizados: 14814
2026-03-19 14:56:57,353 - INFO - Progreso: 15700/31293 (50.2%) - Insertados: 788, Actualizados: 14912
2026-03-19 14:57:13,802 - INFO - Progreso: 15800/31293 (50.5%) - Insertados: 788, Actualizados: 15012
