2026-04-22 15:37:22,593 - INFO - ================================================================================
2026-04-22 15:37:22,594 - INFO - INICIANDO PROCESO DE IMPORTACIÓN DE PRECIOS
2026-04-22 15:37:22,594 - INFO - ================================================================================
2026-04-22 15:37:22,595 - INFO - Buscando archivo Excel...
2026-04-22 15:37:22,595 - INFO - Directorio del script: C:\GitHub\Discordoba\Discordoba_Convertidor_Python\SAP\SAP_ITM1
2026-04-22 15:37:22,595 - INFO - Archivos Excel encontrados: ITM1.xlsx
2026-04-22 15:37:22,598 - INFO - Leyendo archivo: C:\GitHub\Discordoba\Discordoba_Convertidor_Python\SAP\SAP_ITM1\ITM1.xlsx
2026-04-22 15:37:27,436 - INFO - Registros encontrados: 31388
2026-04-22 15:37:27,436 - INFO - Columnas: PriceList, ItemCode, Price, Currency
2026-04-22 15:37:27,436 - INFO - Conectando a SQL Server...
2026-04-22 15:37:28,444 - INFO - ✓ Conexión establecida exitosamente
2026-04-22 15:37:28,516 - INFO - Procesando 31388 registros de precios...
2026-04-22 15:51:02,903 - INFO - Progreso: 4800/31388 (15.3%) - Insertados: 0, Actualizados: 4800
2026-04-22 15:51:19,082 - INFO - Progreso: 4900/31388 (15.6%) - Insertados: 0, Actualizados: 4900
2026-04-22 15:51:35,259 - INFO - Progreso: 5000/31388 (15.9%) - Insertados: 0, Actualizados: 5000
2026-04-22 15:51:52,438 - INFO - Progreso: 5100/31388 (16.2%) - Insertados: 0, Actualizados: 5100
2026-04-22 15:52:08,933 - INFO - Progreso: 5200/31388 (16.6%) - Insertados: 0, Actualizados: 5200
2026-04-22 15:52:25,170 - INFO - Progreso: 5300/31388 (16.9%) - Insertados: 0, Actualizados: 5300
2026-04-22 15:52:42,120 - INFO - Progreso: 5400/31388 (17.2%) - Insertados: 0, Actualizados: 5400
2026-04-22 15:53:06,156 - INFO - Progreso: 5500/31388 (17.5%) - Insertados: 0, Actualizados: 5500
2026-04-22 15:53:27,196 - INFO - Progreso: 5600/31388 (17.8%) - Insertados: 0, Actualizados: 5600
2026-04-22 15:53:46,083 - INFO - Progreso: 5700/31388 (18.2%) - Insertados: 0, Actualizados: 5700
2026-04-22 15:54:02,818 - INFO - Progreso: 5800/31388 (18.5%) - Insertados: 0, Actualizados: 5800
2026-04-22 15:54:18,854 - INFO - Progreso: 5900/31388 (18.8%) - Insertados: 0, Actualizados: 5900
2026-04-22 15:54:35,540 - INFO - Progreso: 6000/31388 (19.1%) - Insertados: 0, Actualizados: 6000
2026-04-22 15:54:51,945 - INFO - Progreso: 6100/31388 (19.4%) - Insertados: 0, Actualizados: 6100
2026-04-22 15:55:08,264 - INFO - Progreso: 6200/31388 (19.8%) - Insertados: 0, Actualizados: 6200
2026-04-22 15:55:24,881 - INFO - Progreso: 6300/31388 (20.1%) - Insertados: 0, Actualizados: 6300
2026-04-22 15:55:41,046 - INFO - Progreso: 6400/31388 (20.4%) - Insertados: 0, Actualizados: 6400
2026-04-22 15:55:57,144 - INFO - Progreso: 6500/31388 (20.7%) - Insertados: 0, Actualizados: 6500
2026-04-22 15:56:13,314 - INFO - Progreso: 6600/31388 (21.0%) - Insertados: 0, Actualizados: 6600
2026-04-22 15:56:29,463 - INFO - Progreso: 6700/31388 (21.3%) - Insertados: 0, Actualizados: 6700
2026-04-22 15:56:45,906 - INFO - Progreso: 6800/31388 (21.7%) - Insertados: 0, Actualizados: 6800
2026-04-22 15:57:02,653 - INFO - Progreso: 6900/31388 (22.0%) - Insertados: 0, Actualizados: 6900
2026-04-22 15:57:19,538 - INFO - Progreso: 7000/31388 (22.3%) - Insertados: 0, Actualizados: 7000
2026-04-22 15:57:51,228 - INFO - Progreso: 7100/31388 (22.6%) - Insertados: 0, Actualizados: 7100
2026-04-22 15:58:18,027 - INFO - Progreso: 7200/31388 (22.9%) - Insertados: 0, Actualizados: 7200
2026-04-22 15:58:43,376 - INFO - Progreso: 7300/31388 (23.3%) - Insertados: 0, Actualizados: 7300
2026-04-22 15:59:00,322 - INFO - Progreso: 7400/31388 (23.6%) - Insertados: 0, Actualizados: 7400
2026-04-22 15:59:16,925 - INFO - Progreso: 7500/31388 (23.9%) - Insertados: 0, Actualizados: 7500
2026-04-22 15:59:33,301 - INFO - Progreso: 7600/31388 (24.2%) - Insertados: 0, Actualizados: 7600
2026-04-22 15:59:49,487 - INFO - Progreso: 7700/31388 (24.5%) - Insertados: 0, Actualizados: 7700
2026-04-22 16:00:06,344 - INFO - Progreso: 7800/31388 (24.9%) - Insertados: 0, Actualizados: 7800
2026-04-22 16:00:24,992 - INFO - Progreso: 7900/31388 (25.2%) - Insertados: 0, Actualizados: 7900
2026-04-22 16:00:42,723 - INFO - Progreso: 8000/31388 (25.5%) - Insertados: 0, Actualizados: 8000
2026-04-22 16:00:58,822 - INFO - Progreso: 8100/31388 (25.8%) - Insertados: 0, Actualizados: 8100
2026-04-22 16:01:16,302 - INFO - Progreso: 8200/31388 (26.1%) - Insertados: 0, Actualizados: 8200
2026-04-22 16:01:32,871 - INFO - Progreso: 8300/31388 (26.4%) - Insertados: 0, Actualizados: 8300
2026-04-22 16:01:49,217 - INFO - Progreso: 8400/31388 (26.8%) - Insertados: 0, Actualizados: 8400
